Titulo,Año,Duración,Género,Puntaje,Resumen,Director,Actor_1,Actor_2,Actor_3,Actor_4
Empire of the Sun,1987,153,"Acción, Drama, Historia",7.7,Un joven inglés lucha por sobrevivir bajo la ocupación japonesa durante la Segunda Guerra Mundial.,Steven Spielberg,Christian Bale,John Malkovich,Miranda Richardson,Nigel Havers
Der Name der Rose,1986,130,"Crimen, Drama, Misterio",7.7,Un fraile intelectualmente inconformista investiga una serie de muertes misteriosas en una abadía aislada.,Jean-Jacques Annaud,Sean Connery,Christian Slater,Helmut Qualtinger,Elya Baskin
Blue Velvet,1986,120,"Drama, Misterio, Suspense",7.7,El descubrimiento de una oreja humana cortada en un campo lleva a un joven a una investigación relacionada con una bella y misteriosa cantante de club nocturno y un grupo de criminales psicópatas que han secuestrado a su hijo.,David Lynch,Isabella Rossellini,Kyle MacLachlan,Dennis Hopper,Laura Dern
The Purple Rose of Cairo,1985,82,"Comedia, Fantasía, Romance",7.7,"En Nueva Jersey, en 1935, un personaje de película sale de la pantalla y entra al mundo real.",Woody Allen,Mia Farrow,Jeff Daniels,Danny Aiello,Irving Metzman
After Hours,1985,97,"Comedia, Crimen, Drama",7.7,Un procesador de textos común y corriente pasa la peor noche de su vida después de aceptar visitar a una chica en el Soho a quien conoció esa noche en una cafetería.,Martin Scorsese,Griffin Dunne,Rosanna Arquette,Verna Bloom,Tommy Chong
Zelig,1983,79,Comedia,7.7,"""Documental"" sobre un hombre que puede verse y actuar como quienquiera que esté a su alrededor y conoce a varios personajes famosos.",Woody Allen,Woody Allen,Mia Farrow,Patrick Horgan,John Buckwalter
The Verdict,1982,129,Drama,7.7,Un abogado ve la oportunidad de salvar su carrera y su autoestima llevando un caso de negligencia médica a juicio en lugar de llegar a un acuerdo.,Sidney Lumet,Paul Newman,Charlotte Rampling,Jack Warden,James Mason
Star Trek II: The Wrath of Khan,1982,113,"Acción, Aventura, Ciencia ficción",7.7,"Con la ayuda de la tripulación del Enterprise, el almirante Kirk debe impedir que un viejo enemigo, Khan Noonien Singh, utilice el dispositivo Génesis, generador de vida, como arma definitiva.",Nicholas Meyer,William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan
First Blood,1982,93,Acción Aventura,7.7,Un cruel sheriff y sus ayudantes obligan a un veterano boina verde a huir a las montañas y librar una creciente guerra de un solo hombre contra sus perseguidores.,Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Richard Crenna,Bill McKinney
Ordinary People,1980,124,Drama,7.7,"La muerte accidental del hijo mayor de una familia acomodada tensa profundamente las relaciones entre la madre amargada, el padre bondadoso y el hijo menor lleno de culpa.",Robert Redford,Donald Sutherland,Mary Tyler Moore,Judd Hirsch,Timothy Hutton
Airplane!,1980,88,Comedia,7.7,Un hombre que tiene miedo de volar debe asegurarse de que un avión aterrice de forma segura después de que los pilotos se enfermen.,Jim Abrahams,David Zucker,Jerry Zucker,Robert Hays,Julie Hagerty
Rupan sansei: Kariosutoro no shiro,1979,100,"Animación, Aventura, Familia",7.7,"Un apuesto ladrón, su banda de desesperados y un intrépido policía luchan por liberar a una princesa de las garras de un malvado conde y descubrir el secreto oculto de un fabuloso tesoro del que ella tiene parte de la llave.",Hayao Miyazaki,Yasuo Yamada,Eiko Masuyama,Kiyoshi Kobayashi,Makio Inoue
Halloween,1978,91,"Terror, Suspense",7.7,"Quince años después de asesinar a su hermana la noche de Halloween de 1963, Michael Myers escapa de un hospital psiquiátrico y regresa al pequeño pueblo de Haddonfield, Illinois, para volver a matar.",John Carpenter,Donald Pleasence,Jamie Lee Curtis,Tony Moran,Nancy Kyes
Le locataire,1976,126,"Drama, Suspense",7.7,Un burócrata alquila un apartamento en París donde se ve arrastrado a una madriguera de peligrosa paranoia.,Roman Polanski,Roman Polanski,Isabelle Adjani,Melvyn Douglas,Jo Van Fleet
Love and Death,1975,85,"Comedia, Guerra",7.7,"En la Rusia zarista, un soldado neurótico y su primo lejano formulan un complot para asesinar a Napoleón.",Woody Allen,Woody Allen,Diane Keaton,Georges Adet,Frank Adu
The Taking of Pelham One Two Three,1974,104,"Acción, Crimen, Suspense",7.7,"En Nueva York, hombres armados secuestran un vagón del metro y exigen un rescate por los pasajeros. Incluso si fuera pagado, ¿cómo podrían escapar?",Joseph Sargent,Walter Matthau,Robert Shaw,Martin Balsam,Hector Elizondo
Blazing Saddles,1974,93,"Comedia, occidental",7.7,"Para arruinar una ciudad del oeste, un político corrupto nombra a un sheriff negro, que rápidamente se convierte en su adversario más formidable.",Mel Brooks,Cleavon Little,Gene Wilder,Slim Pickens,Harvey Korman
Serpico,1973,130,"Biografía, Crimen, Drama",7.7,Un honesto policía de Nueva York llamado Frank Serpico denuncia la corrupción desenfrenada en la fuerza solo para que sus camaradas se vuelvan en su contra.,Sidney Lumet,Al Pacino,John Randolph,Jack Kehoe,Biff McGuire
Enter the Dragon,1973,102,"Acción, Crimen, Drama",7.7,Un agente secreto llega a la fortaleza de la isla de un señor del opio con otros luchadores para un torneo de artes marciales.,Robert Clouse,Bruce Lee,John Saxon,Jim Kelly,Ahna Capri
Deliverance,1972,109,"Aventura, Drama, Suspense",7.7,"Con la intención de ver el río Cahulawassee antes de que lo represen y lo conviertan en un lago, Lewis Medlock, fanático de las actividades al aire libre, lleva a sus amigos a un viaje en canoa que nunca olvidarán por el peligroso interior de Estados Unidos.",John Boorman,Jon Voight,Burt Reynolds,Ned Beatty,Ronny Cox
The French Connection,1971,104,"Acción, Crimen, Drama",7.7,Un par de policías de la Oficina de Narcóticos de Nueva York se topan con un trabajo de contrabando de drogas con una conexión francesa.,William Friedkin,Gene Hackman,Roy Scheider,Fernando Rey,Tony Lo Bianco
Dirty Harry,1971,102,"Acción, Crimen, Suspense",7.7,"Cuando un loco que se hace llamar ""el Asesino Escorpio"" amenaza la ciudad, el duro inspector de policía de San Francisco ""Dirty"" Harry Callahan es asignado para localizar y descubrir al psicópata enloquecido.",Don Siegel,Clint Eastwood,Andrew Robinson,Harry Guardino,Reni Santoni
Where Eagles Dare,1968,158,"Acción, Aventura, Guerra",7.7,"Agentes aliados organizan un atrevido ataque a un castillo donde los nazis mantienen prisionero al general de brigada estadounidense George Carnaby, pero eso no es todo lo que realmente está sucediendo.",Brian G. Hutton,Richard Burton,Clint Eastwood,Mary Ure,Patrick Wymark
The Odd Couple,1968,105,Comedia,7.7,"Dos amigos intentan compartir apartamento, pero sus ideas sobre la limpieza y sus estilos de vida son tan diferentes como el día y la noche.",Gene Saks,Jack Lemmon,Walter Matthau,John Fiedler,Herb Edelman
The Dirty Dozen,1967,150,"Acción, Aventura, Guerra",7.7,"Durante la Segunda Guerra Mundial, a un comandante rebelde del ejército estadounidense se le asigna una docena de asesinos convictos para entrenarlos y guiarlos en una misión de asesinato en masa de oficiales alemanes.",Robert Aldrich,Lee Marvin,Ernest Borgnine,Charles Bronson,John Cassavetes
Belle de jour,1967,100,"Drama, Romance",7.7,Una joven y frígida ama de casa decide pasar sus tardes entre semana como prostituta.,Luis BuÃ±uel,Catherine Deneuve,Jean Sorel,Michel Piccoli,GeneviÃ¨ve Page
A Man for All Seasons,1966,120,"Biografía, Drama, Historia",7.7,"La historia de Sir Tomás Moro, quien se enfrentó al rey Enrique VIII cuando el rey rechazó la Iglesia Católica Romana para obtener el divorcio y volverse a casar.",Fred Zinnemann,Paul Scofield,Wendy Hiller,Robert Shaw,Leo McKern
Repulsion,1965,105,"Drama, Terror, Suspense",7.7,Una mujer que siente repulsión sexual y desaprueba al novio de su hermana se hunde en una depresión y tiene horribles visiones de violación y violencia.,Roman Polanski,Catherine Deneuve,Ian Hendry,John Fraser,Yvonne Furneaux
Zulu,1964,138,"Drama, Historia, Guerra",7.7,"Los soldados británicos, superados en número, luchan contra los guerreros zulúes en Rorke's Drift.",Cy Endfield,Stanley Baker,Jack Hawkins,Ulla Jacobsson,James Booth
Goldfinger,1964,110,"Acción, Aventura, Suspense",7.7,"Mientras investiga el contrabando de un magnate del oro, James Bond descubre un complot para contaminar la reserva de oro de Fort Knox.",Guy Hamilton,Sean Connery,Gert FrÃ¶be,Honor Blackman,Shirley Eaton
The Birds,1963,119,"Drama, Terror, Misterio",7.7,Una adinerada socialité de San Francisco persigue a un posible novio hasta un pequeño pueblo del norte de California que poco a poco se vuelve extraño cuando pájaros de todo tipo de repente comienzan a atacar a la gente.,Alfred Hitchcock,Rod Taylor,Tippi Hedren,Jessica Tandy,Suzanne Pleshette
Cape Fear,1962,106,"Drama, Suspense",7.7,La familia de un abogado es acosada por un hombre al que una vez ayudó a encarcelar.,J. Lee Thompson,Gregory Peck,Robert Mitchum,Polly Bergen,Lori Martin
Peeping Tom,1960,101,"Drama, Terror, Suspense",7.7,Un joven asesina a mujeres y utiliza una cámara de cine para filmar sus expresiones de terror agonizantes.,Michael Powell,Karlheinz BÃ¶hm,Anna Massey,Moira Shearer,Maxine Audley
The Magnificent Seven,1960,128,"Acción, Aventura, Western",7.7,Siete pistoleros son contratados por campesinos mexicanos para liberar a su pueblo de los bandidos opresivos.,John Sturges,Yul Brynner,Steve McQueen,Charles Bronson,Eli Wallach
Les yeux sans visage,1960,90,"Drama, Terror",7.7,Un cirujano provoca un accidente que deja a su hija desfigurada y llega a los extremos para darle un nuevo rostro.,Georges Franju,Pierre Brasseur,Alida Valli,Juliette Mayniel,Alexandre Rignault
Invasion of the Body Snatchers,1956,80,"Drama, Terror, Ciencia ficción",7.7,Un médico de un pequeño pueblo descubre que la población de su comunidad está siendo reemplazada por duplicados alienígenas sin emociones.,Don Siegel,Kevin McCarthy,Dana Wynter,Larry Gates,King Donovan
Rebel Without a Cause,1955,111,Drama,7.7,Un joven rebelde con un pasado turbulento llega a una nueva ciudad y encuentra amigos y enemigos.,Nicholas Ray,James Dean,Natalie Wood,Sal Mineo,Jim Backus
The Ladykillers,1955,91,"Comedia, Crimen",7.7,Cinco delincuentes excéntricos que planean un atraco a un banco alquilan habitaciones en un callejón sin salida a una viuda octogenaria con el pretexto de que son músicos clásicos.,Alexander Mackendrick,Alec Guinness,Peter Sellers,Cecil Parker,Herbert Lom
Sabrina,1954,113,"Comedia, Drama, Romance",7.7,"Un playboy se interesa por la hija del chófer de su familia, pero es su hermano más serio quien sería el mejor hombre para ella.",Billy Wilder,Humphrey Bogart,Audrey Hepburn,William Holden,Walter Hampden
The Quiet Man,1952,129,"Comedia, Drama, Romance",7.7,"Un boxeador estadounidense retirado regresa a su pueblo natal en Irlanda, donde se enamora de una enérgica pelirroja cuyo hermano desprecia su unión.",John Ford,John Wayne,Maureen O'Hara,Barry Fitzgerald,Ward Bond
The Day the Earth Stood Still,1951,92,"Drama, ciencia ficción",7.7,Un extraterrestre aterriza y le dice a la gente de la Tierra que deben vivir en paz o ser destruidos como un peligro para otros planetas.,Robert Wise,Michael Rennie,Patricia Neal,Hugh Marlowe,Sam Jaffe
The African Queen,1951,105,"Aventura, Drama, Romance",7.7,"En la Primera Guerra Mundial en África, un misionero puritano convence al capitán de un barco fluvial que bebe ginebra para que use su barco para atacar un buque de guerra enemigo.",John Huston,Humphrey Bogart,Katharine Hepburn,Robert Morley,Peter Bull
Gilda,1946,110,"Drama, Cine negro, Romance",7.7,Un jugador de poca monta contratado para trabajar en un casino de Buenos Aires descubre que la nueva esposa de su empleador es su ex amante.,Charles Vidor,Rita Hayworth,Glenn Ford,George Macready,Joseph Calleia
Fantasia,1940,125,"Animación, Familia, Fantasía",7.7,Una colección de interpretaciones animadas de grandes obras de la música clásica occidental.,James Algar,Samuel Armstrong,Ford Beebe Jr.,Norman Ferguson,David Hand
The Invisible Man,1933,71,"Terror, Ciencia ficción",7.7,"Un científico encuentra una manera de volverse invisible, pero al hacerlo, se vuelve mortalmente loco.",James Whale,Claude Rains,Gloria Stuart,William Harrigan,Henry Travers
Dark Waters,2019,126,"Biografía, Drama, Historia",7.6,Un abogado defensor corporativo emprende una demanda ambiental contra una empresa química que expone un largo historial de contaminación.,Todd Haynes,Mark Ruffalo,Anne Hathaway,Tim Robbins,Bill Pullman
Searching,2018,102,"Drama, Misterio, Suspense",7.6,"Después de que su hija adolescente desaparece, un padre desesperado intenta encontrar pistas en su computadora portátil.",Aneesh Chaganty,John Cho,Debra Messing,Joseph Lee,Michelle La
Once Upon a Time... in Hollywood,2019,161,Comedia dramática,7.6,Un actor de televisión descolorido y su doble se esfuerzan por alcanzar la fama y el éxito en los últimos años de la Edad de Oro de Hollywood en Los Ángeles de 1969.,Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Emile Hirsch
Nelyubov,2017,127,Drama,7.6,Una pareja en proceso de divorcio deberá unirse para encontrar a su hijo desaparecido durante una de sus amargas discusiones.,Andrey Zvyagintsev,Maryana Spivak,Aleksey Rozin,Matvey Novikov,Marina Vasileva
The Florida Project,2017,111,Drama,7.6,"Ambientada en un verano, la película sigue a la precoz Moonee, de seis años, mientras busca travesuras y aventuras con sus variados compañeros de juegos y se une a su rebelde pero cariñosa madre, todo mientras vive en las sombras de Walt Disney World.",Sean Baker,Brooklynn Prince,Bria Vinaite,Willem Dafoe,Christopher Rivera
Just Mercy,2019,137,"Biografía, Crimen, Drama",7.6,"El abogado defensor de los derechos civiles de renombre mundial, Bryan Stevenson, trabaja para liberar a un prisionero condenado a muerte injustamente.",Destin Daniel Cretton,Michael B. Jordan,Jamie Foxx,Brie Larson,Charlie Pye Jr.
Gifted,2017,101,Drama,7.6,"Frank, un hombre soltero que cría a su sobrina Mary, una niña prodigio, se ve envuelto en una batalla por la custodia con su madre.",Marc Webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer
The Peanut Butter Falcon,2019,97,"Aventura, Comedia, Drama",7.6,Zak se escapa de su residencia para hacer realidad su sueño de convertirse en luchador.,Tyler Nilson,Michael Schwartz,Zack Gottsagen,Ann Owens,Dakota Johnson
Victoria,2015,138,"Crimen, Drama, Romance",7.6,Una joven española que se mudó recientemente a Berlín descubre que su coqueteo con un chico local se vuelve potencialmente mortal mientras su noche de fiesta con sus amigos revela un secreto peligroso.,Sebastian Schipper,Laia Costa,Frederick Lau,Franz Rogowski,Burak Yigit
Mustang,2015,97,Drama,7.6,"Cuando se ve a cinco niñas huérfanas jugando inocentemente con niños en una playa, sus escandalizados tutores conservadores las encierran mientras se arreglan matrimonios forzados.",Deniz Gamze ErgÃ¼ven,GÃ¼nes Sensoy,Doga Zeynep Doguslu,Tugba Sunguroglu,Elit Iscan
Guardians of the Galaxy Vol. 2,2017,136,"Acción, Aventura, Comedia",7.6,"Los Guardianes luchan por mantenerse unidos como equipo mientras lidian con sus problemas familiares personales, en particular el encuentro de Star-Lord con su padre, el ambicioso ser celestial Ego.",James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel
Baby Driver,2017,113,"Acción, Crimen, Drama",7.6,"Después de ser obligado a trabajar para un jefe criminal, un joven conductor de fuga se encuentra participando en un atraco condenado al fracaso.",Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza GonzÃ¡lez
Only the Brave,2017,134,"Acción, Biografía, Drama",7.6,"Basado en la historia real de Granite Mountain Hotshots, un grupo de bomberos de élite que lo arriesgan todo para proteger una ciudad de un incendio forestal histórico.",Joseph Kosinski,Josh Brolin,Miles Teller,Jeff Bridges,Jennifer Connelly
Bridge of Spies,2015,142,"Drama, Historia, Suspense",7.6,"Durante la Guerra Fría, un abogado estadounidense es reclutado para defender ante los tribunales a un espía soviético arrestado y luego ayudar a la CIA a facilitar el intercambio del espía por el piloto del avión espía U2 estadounidense capturado por los soviéticos, Francis Gary Powers.",Steven Spielberg,Tom Hanks,Mark Rylance,Alan Alda,Amy Ryan
Incredibles 2,2018,118,"Animación, Acción, Aventura",7.6,La familia Los Increíbles asume una nueva misión que implica un cambio de roles familiares: Bob Parr (Mr. Increíble) debe administrar la casa mientras su esposa Helen (Elastigirl) sale a salvar el mundo.,Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner
Moana,2016,107,"Animación, Aventura, Comedia",7.6,"En la antigua Polinesia, cuando una terrible maldición en la que incurre el semidiós Maui llega a la isla de Moana, ella responde al llamado del océano de buscar al semidiós para arreglar las cosas.",Ron Clements,John Musker,Don Hall,Chris Williams,Auli'i Cravalho
Sicario,2015,121,"Acción, Crimen, Drama",7.6,Un agente idealista del FBI es reclutado por un grupo de trabajo del gobierno para ayudar en la escalada de la guerra contra las drogas en la zona fronteriza entre Estados Unidos y México.,Denis Villeneuve,Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal
Creed,2015,133,"Drama, Deporte",7.6,"El ex campeón mundial de peso pesado Rocky Balboa se desempeña como entrenador y mentor de Adonis Johnson, el hijo de su difunto amigo y ex rival Apollo Creed.",Ryan Coogler,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad
Leviafan,2014,140,"Drama, Crimen",7.6,"En una ciudad costera rusa, Kolya se ve obligado a luchar contra el alcalde corrupto cuando le dicen que su casa será demolida. Recluta a un amigo abogado para que le ayude, pero la llegada del hombre trae más desgracias para Kolya y su familia.",Andrey Zvyagintsev,Aleksey Serebryakov,Elena Lyadova,Roman Madyanov,Vladimir Vdovichenkov
Hell or High Water,2016,102,"Acción, Crimen, Drama",7.6,"Un padre divorciado y su hermano mayor, ex convicto, recurren a un plan desesperado para salvar el rancho de su familia en el oeste de Texas.",David Mackenzie,Chris Pine,Ben Foster,Jeff Bridges,Gil Birmingham
Philomena,2013,98,"Biografía, Comedia, Drama",7.6,"Un periodista político cansado del mundo retoma la historia de la búsqueda de una mujer de su hijo, que le fue arrebatado hace décadas después de que quedó embarazada y fue obligada a vivir en un convento.",Stephen Frears,Judi Dench,Steve Coogan,Sophie Kennedy Clark,Mare Winningham
Dawn of the Planet of the Apes,2014,130,"Acción, Aventura, Drama",7.6,Una nación en crecimiento de simios genéticamente evolucionados liderados por César se ve amenazada por un grupo de supervivientes humanos del devastador virus desatado una década antes.,Matt Reeves,Gary Oldman,Keri Russell,Andy Serkis,Kodi Smit-McPhee
El cuerpo,2012,112,"Misterio, Suspense",7.6,Un detective busca el cuerpo de una mujer fatal que ha desaparecido de una morgue.,Oriol Paulo,Jose Coronado,Hugo Silva,BelÃ©n Rueda,Aura Garrido
Serbuan maut,2011,101,"Acción, Suspense",7.6,Un SWAT El equipo queda atrapado en una vivienda dirigida por un mafioso despiadado y su ejército de asesinos y matones.,Gareth Evans,Iko Uwais,Ananda George,Ray Sahetapy,Donny Alamsyah
End of Watch,2012,109,"Acción, Crimen, Drama",7.6,"Filmada al estilo documental, esta película sigue la rutina diaria de dos jóvenes policías de Los Ángeles que son socios y amigos, y lo que sucede cuando se encuentran con fuerzas criminales mayores que ellos.",David Ayer,Jake Gyllenhaal,Michael PeÃ±a,Anna Kendrick,America Ferrera
Kari-gurashi no Arietti,2010,94,"Animación, Aventura, Familia",7.6,"La familia Clock está formada por personas de diez centímetros de altura que viven de forma anónima en la residencia de otra familia y toman prestados elementos sencillos para construir su hogar. La vida de los Clocks cambia cuando descubren a su hija adolescente, Arrietty.",Hiromasa Yonebayashi,Amy Poehler,Mirai Shida,RyÃ»nosuke Kamiki,Tatsuya Fujiwara
A Star Is Born,2018,136,"Drama, Música, Romance",7.6,Un músico ayuda a un joven cantante a encontrar la fama mientras la edad y el alcoholismo hacen que su carrera caiga en una espiral descendente.,Bradley Cooper,Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg
True Grit,2010,110,"Drama, Western",7.6,Una adolescente obstinada solicita la ayuda de un duro mariscal estadounidense para localizar al asesino de su padre.,Ethan Coen,Joel Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld
HÃ¦vnen,2010,118,"Drama, Romance",7.6,"Las vidas de dos familias danesas se cruzan y surge una amistad extraordinaria pero arriesgada. Pero la soledad, la fragilidad y el dolor acechan.",Susanne Bier,Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,Wil Johnson
Despicable Me,2010,95,"Animación, Comedia, Crimen",7.6,"Cuando un cerebro criminal utiliza a un trío de niñas huérfanas como peones para un gran plan, descubre que su amor lo está cambiando profundamente para mejor.",Pierre Coffin,Chris Renaud,Steve Carell,Jason Segel,Russell Brand
50/50,2011,100,"Comedia, Drama, Romance",7.6,"Inspirada en una historia real, una comedia centrada en un chico de 27 años que se entera de su diagnóstico de cáncer y su posterior lucha para vencer la enfermedad.",Jonathan Levine,Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,Bryce Dallas Howard
Kick-Ass,2010,117,"Acción, Comedia, Crimen",7.6,"Dave Lizewski es un estudiante de secundaria y fanático de los cómics que pasa desapercibido y que un día decide convertirse en superhéroe, aunque no tiene poderes, entrenamiento ni una razón significativa para hacerlo.",Matthew Vaughn,Aaron Taylor-Johnson,Nicolas Cage,ChloÃ« Grace Moretz,Garrett M. Brown
Celda 211,2009,113,"Acción, Aventura, Crimen",7.6,"La historia de dos hombres en lados diferentes de un motín en la prisión: el recluso que lidera la rebelión y el joven guardia atrapado en la revuelta, que se hace pasar por un prisionero en un intento desesperado por sobrevivir a la terrible experiencia.",Daniel MonzÃ³n,Luis Tosar,Alberto Ammann,Antonio Resines,Manuel MorÃ³n
Moneyball,2011,133,"Biografía, Drama, Deporte",7.6,"El intento exitoso del gerente general de los Atléticos de Oakland, Billy Beane, de formar un equipo de béisbol con un presupuesto ajustado empleando análisis generados por computadora para adquirir nuevos jugadores.",Bennett Miller,Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman
La piel que habito,2011,120,"Drama, Terror, Suspense",7.6,"Un brillante cirujano plástico, atormentado por tragedias del pasado, crea un tipo de piel sintética que resiste cualquier tipo de daño. Su conejillo de indias: una mujer misteriosa y volátil que tiene la clave de su obsesión.",Pedro AlmodÃ³var,Antonio Banderas,Elena Anaya,Jan Cornet,Marisa Paredes
Zombieland,2009,88,"Aventura, Comedia, Fantasía",7.6,"Un estudiante tímido que intenta comunicarse con su familia en Ohio, un tipo duro armado que intenta encontrar el último Twinkie y un par de hermanas que intentan llegar a un parque de diversiones unen fuerzas para viajar a través de una América llena de zombis.",Ruben Fleischer,Jesse Eisenberg,Emma Stone,Woody Harrelson,Abigail Breslin
Die Welle,2008,107,"Drama, Suspense",7.6,El experimento de un profesor de secundaria para demostrar a sus alumnos cómo es la vida bajo una dictadura se sale terriblemente de control cuando forma una unidad social con vida propia.,Dennis Gansel,JÃ¼rgen Vogel,Frederick Lau,Max Riemelt,Jennifer Ulrich
Sherlock Holmes,2009,128,"Acción, Aventura, Misterio",7.6,El detective Sherlock Holmes y su incondicional compañero Watson se involucran en una batalla de ingenio y fuerza con un enemigo cuyo complot es una amenaza para toda Inglaterra.,Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams,Mark Strong
The Blind Side,2009,129,"Biografía, Drama, Deporte",7.6,"La historia de Michael Oher, un niño traumatizado y sin hogar que se convirtió en jugador de fútbol americano y selección de primera ronda del draft de la NFL con la ayuda de una mujer cariñosa y su familia.",John Lee Hancock,Quinton Aaron,Sandra Bullock,Tim McGraw,Jae Head
The Visitor,2007,104,Drama,7.6,Un profesor universitario viaja a la ciudad de Nueva York para asistir a una conferencia y encuentra a una pareja joven viviendo en su apartamento.,Tom McCarthy,Richard Jenkins,Haaz Sleiman,Danai Gurira,Hiam Abbass
Seven Pounds,2008,123,Drama,7.6,Un hombre con un fatídico secreto se embarca en un extraordinario viaje de redención cambiando para siempre las vidas de siete extraños.,Gabriele Muccino,Will Smith,Rosario Dawson,Woody Harrelson,Michael Ealy
Eastern Promises,2007,100,"Acción, Crimen, Drama",7.6,Una adolescente que muere durante el parto deja pistas en su diario que podrían vincular a su hijo con una violación que involucra a una violenta familia de la mafia rusa.,David Cronenberg,Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl,Josef Altin
Stardust,2007,127,"Aventura, Familia, Fantasía",7.6,"En un pueblo rural que limita con una tierra mágica, un joven le promete a su amada que recuperará una estrella caída aventurándose en el reino mágico.",Matthew Vaughn,Charlie Cox,Claire Danes,Sienna Miller,Ian McKellen
The Secret of Kells,2009,71,"Animación, Aventura, Familia",7.6,"Un joven que se encuentra en un remoto puesto medieval bajo asedio de incursiones bárbaras es llamado a la aventura cuando un célebre maestro iluminador llega con un libro antiguo, repleto de sabiduría y poderes secretos.",Tomm Moore,Nora Twomey,Evan McGuire,Brendan Gleeson,Mick Lally
Inside Man,2006,129,"Crimen, Drama, Misterio",7.6,"Un detective de policía, un ladrón de bancos y un corredor de alto poder entablan negociaciones de alto riesgo después de que el brillante atraco del criminal desemboca en una situación de rehenes.",Spike Lee,Denzel Washington,Clive Owen,Jodie Foster,Christopher Plummer
Gone Baby Gone,2007,114,"Crimen, Drama, Misterio",7.6,"Dos detectives del área de Boston investigan el secuestro de una niña, que finalmente se convierte en una crisis tanto a nivel profesional como personal.",Ben Affleck,Morgan Freeman,Ed Harris,Casey Affleck,Michelle Monaghan
La Vie En Rose,2007,140,"Biografía, Drama, Música",7.6,"Película biográfica de la icónica cantante francesa Édith Piaf. Criada por su abuela en un burdel, fue descubierta mientras cantaba en una esquina a la edad de 19 años. A pesar de su éxito, la vida de Piaf estuvo llena de tragedias.",Olivier Dahan,Marion Cotillard,Sylvie Testud,Pascal Greggory,Emmanuelle Seigner
Huo Yuan Jia,2006,104,"Acción, Biografía, Drama",7.6,"Una biografía del maestro de artes marciales chino Huo Yuanjia, fundador y gurú espiritual de la Federación Deportiva Jin Wu.",Ronny Yu,Jet Li,Li Sun,Yong Dong,Yun Qu
The Illusionist,2006,110,"Drama, Fantasía, Misterio",7.6,"En la Viena de principios de siglo, un mago utiliza sus habilidades para conseguir el amor de una mujer muy por encima de su posición social.",Neil Burger,Edward Norton,Jessica Biel,Paul Giamatti,Rufus Sewell
Dead Man's Shoes,2004,90,"Crimen, Drama, Suspense",7.6,Un soldado descontento regresa a su ciudad natal para vengarse de los matones que maltrataron a su hermano con problemas mentales hace años.,Shane Meadows,Paddy Considine,Gary Stretch,Toby Kebbell,Stuart Wolfenden
Harry Potter and the Half-Blood Prince,2009,153,"Acción, Aventura, Familia",7.6,"Cuando Harry Potter comienza su sexto año en Hogwarts, descubre un viejo libro marcado como ""propiedad del Príncipe Mestizo"" y comienza a aprender más sobre el oscuro pasado de Lord Voldemort.",David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon
300,2006,117,"Acción, Drama",7.6,El rey Leónidas de Esparta y una fuerza de 300 hombres luchan contra los persas en las Termópilas en el año 480 a.C.,Zack Snyder,Gerard Butler,Lena Headey,David Wenham,Dominic West
Match Point,2005,124,"Drama, Romance, Suspense",7.6,"En un punto de inflexión en su vida, un ex tenista profesional se enamora de una actriz que está saliendo con su amigo y futuro cuñado.",Woody Allen,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,Matthew Goode
Watchmen,2009,162,"Acción, Drama, Misterio",7.6,"En 1985, donde existen ex superhéroes, el asesinato de un colega envía al vigilante activo Rorschach a su propia investigación en expansión, descubriendo algo que podría cambiar por completo el curso de la historia tal como la conocemos.",Zack Snyder,Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman
Lord of War,2005,122,"Acción, Crimen, Drama",7.6,Un traficante de armas se enfrenta a la moralidad de su trabajo mientras es perseguido por un agente de INTERPOL.,Andrew Niccol,Nicolas Cage,Ethan Hawke,Jared Leto,Bridget Moynahan
Saw,2004,103,"Terror, Misterio, Suspense",7.6,Dos extraños se despiertan en una habitación sin recordar cómo llegaron allí y pronto descubren que son peones en un juego mortal perpetrado por un notorio asesino en serie.,James Wan,Cary Elwes,Leigh Whannell,Danny Glover,Ken Leung
